序号,基金代码,基金名称,类型,近1年,近一年收益,交易状态,购买手续费,管理费率,托管费率,销售服务费,合计费率,链接
1,270042,"广发纳斯达克100ETF联接人民币(QDII)A",A,35.82%,34.69%,"限大额  (单日累计购买上限10.00元)",1.30%,0.80%,0.20%,0%,1.13%,https://fund.eastmoney.com/270042.html
2,040046,"华安纳斯达克100ETF联接(QDII)A",A,35.91%,34.79%,"限大额  (单日累计购买上限10.00元)",1.20%,0.80%,0.20%,0%,1.12%,https://fund.eastmoney.com/040046.html
3,018043,"天弘纳斯达克100指数发起(QDII)A",A,34.90%,34.20%,"限大额  (单日累计购买上限100.00元)",1.00%,0.50%,0.10%,0%,0.70%,https://fund.eastmoney.com/018043.html
4,016532,"嘉实纳斯达克100ETF发起联接(QDII)人民币A",A,33.97%,33.27%,"暂停申购  (单日累计购买上限100.00元)",1.00%,0.50%,0.10%,0%,0.70%,https://fund.eastmoney.com/016532.html
5,000834,"大成纳斯达克100ETF联接(QDII)A",A,35.92%,34.80%,"限大额  (单日累计购买上限500.00元)",1.20%,0.80%,0.20%,0%,1.12%,https://fund.eastmoney.com/000834.html
6,160213,"国泰纳斯达克100指数(QDII)",A,36.89%,35.74%,"暂停申购  (单日累计购买上限5000.00元)",1.50%,0.80%,0.20%,0%,1.15%,https://fund.eastmoney.com/160213.html
7,016452,"南方纳斯达克100指数发起(QDII)A",A,34.35%,33.58%,"限大额  (单日累计购买上限200.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/016452.html
8,019547,"招商纳斯达克100ETF发起式联接(QDII)A",A,34.04%,33.27%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/019547.html
9,016055,"博时纳斯达克100ETF发起式联接(QDII)人民币A",A,35.32%,34.57%,"暂停申购  (单日累计购买上限100.00元)",1.00%,0.50%,0.15%,0%,0.75%,https://fund.eastmoney.com/016055.html
10,539001,"建信纳斯达克100指数(QDII)人民币A",A,33.65%,32.53%,"限大额  (单日累计购买上限100.00元)",1.20%,0.80%,0.20%,0%,1.12%,https://fund.eastmoney.com/539001.html
11,019524,"华泰柏瑞纳斯达克100ETF发起式联接(QDII)A",A,33.56%,32.79%,"限大额  (单日累计购买上限10.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/019524.html
12,161130,"易方达纳斯达克100LOF",A,34.16%,33.44%,"暂停申购  (单日累计购买上限10.00元)",1.20%,0.50%,0.10%,0%,0.72%,https://fund.eastmoney.com/161130.html
13,018966,"汇添富纳斯达克100ETF发起式联接(QDII)人民币A",A,32.60%,31.83%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/018966.html
14,019172,"摩根纳斯达克100指数(QDII)人民币A",A,34.95%,34.23%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.10%,0%,0.72%,https://fund.eastmoney.com/019172.html
15,019736,"宝盈纳斯达克100指数发起(QDII)人民币",A,33.89%,33.12%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/019736.html
16,019441,"万家纳斯达克100指数发起式(QDII)A",A,33.74%,32.99%,"限大额  (单日累计购买上限50.00元)",1.00%,0.50%,0.15%,0%,0.75%,https://fund.eastmoney.com/019441.html
17,015299,"华夏纳斯达克100ETF发起式联接(QDII)A",A,34.44%,33.52%,"暂停申购  (单日累计购买上限100.00元)",1.20%,0.60%,0.20%,0%,0.92%,https://fund.eastmoney.com/015299.html
18,006479,"广发纳斯达克100ETF联接人民币(QDII)C",C,35.55%,34.35%,"限大额  (单日累计购买上限10.00元)",0.00%,0.80%,0.20%,0.20%,1.20%,https://fund.eastmoney.com/006479.html
19,014978,"华安纳斯达克100ETF联接(QDII)C",C,35.64%,34.64%,"限大额  (单日累计购买上限10.00元)",0.00%,0.60%,0.20%,0.20%,1.00%,https://fund.eastmoney.com/014978.html
20,018044,"天弘纳斯达克100指数发起(QDII)C",C,34.64%,33.84%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.10%,0.20%,0.80%,https://fund.eastmoney.com/018044.html
21,016453,"南方纳斯达克100指数发起C",C,34.22%,33.47%,"限大额  (单日累计购买上限200.00元)",0.00%,0.50%,0.15%,0.10%,0.75%,https://fund.eastmoney.com/016453.html
22,008971,"大成纳斯达克100ETF联接(QDII)C",C,35.51%,34.21%,"限大额  (单日累计购买上限500.00元)",0.00%,0.80%,0.20%,0.30%,1.30%,https://fund.eastmoney.com/008971.html
23,016533,"嘉实纳斯达克100ETF发起式联接(QDII)C",C,33.63%,32.78%,"暂停申购  (单日累计购买上限100.00元)",0.00%,0.50%,0.10%,0.25%,0.85%,https://fund.eastmoney.com/016533.html
24,016057,"博时纳斯达克100ETF发起式联接(QDII)C",C,34.91%,33.96%,"暂停申购  (单日累计购买上限100.00元)",0.00%,0.50%,0.15%,0.30%,0.95%,https://fund.eastmoney.com/016057.html
25,012752,"建信纳斯达克100指数(QDII)C",C,33.25%,31.95%,"限大额  (单日累计购买上限100.00元)",0.00%,0.80%,0.20%,0.30%,1.30%,https://fund.eastmoney.com/012752.html
26,019525,"华泰柏瑞纳斯达克100ETF发起式联接(QDII)C",C,33.23%,32.33%,"限大额  (单日累计购买上限10.00元)",0.00%,0.50%,0.15%,0.25%,0.90%,https://fund.eastmoney.com/019525.html
27,018967,"汇添富纳斯达克100ETF发起式联接(QDII)C",C,32.07%,31.02%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.15%,0.40%,1.05%,https://fund.eastmoney.com/018967.html
28,019173,"摩根纳斯达克100指数(QDII)人民币C",C,34.54%,33.64%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.10%,0.30%,0.90%,https://fund.eastmoney.com/019173.html
29,019737,"宝盈纳斯达克100指数发起(QDII)人民币C",C,33.55%,32.70%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.10%,0.25%,0.85%,https://fund.eastmoney.com/019737.html
30,019442,"万家纳斯达克100指数发起式(QDII)C",C,33.47%,32.62%,"限大额  (单日累计购买上限50.00元)",0.00%,0.50%,0.15%,0.20%,0.85%,https://fund.eastmoney.com/019442.html
31,015300,"华夏纳斯达克100ETF发起式联接(QDII)C",C,34.04%,32.94%,"暂停申购  (单日累计购买上限100.00元)",0.00%,0.60%,0.20%,0.30%,1.10%,https://fund.eastmoney.com/015300.html
32,019548,"招商纳斯达克100ETF发起式联接(QDII)C",C,33.51%,32.46%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.15%,0.40%,1.05%,https://fund.eastmoney.com/019548.html
33,012870,"易方达纳斯达克100ETF联接(QDII-LOF)C(人民币)",C,33.74%,32.84%,"暂停申购  (单日累计购买上限10.00元)",0.00%,0.50%,0.10%,0.30%,0.90%,https://fund.eastmoney.com/012870.html
34,050025,"博时标普500ETF联接(QDII)A",A,24.26%,23.34%,"限大额  (单日累计购买上限100.00元)",1.20%,0.60%,0.20%,0%,0.92%,https://fund.eastmoney.com/050025.html
35,017641,"摩根标普500指数(QDII)A",A,23.85%,23.08%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/017641.html
36,161125,"易方达标普500指数LOF",A,23.96%,22.84%,"暂停申购  (单日累计购买上限10.00元)",1.20%,0.80%,0.20%,0%,1.12%,https://fund.eastmoney.com/161125.html
37,017028,"国泰标普500ETF发起式联接(QDII)A",A,22.51%,21.66%,"暂停申购  (单日累计购买上限1.00万元)",1.00%,0.60%,0.15%,0%,0.85%,https://fund.eastmoney.com/017028.html
38,006075,"博时标普500ETF联接(QDII)C",C,23.83%,22.68%,"限大额  (单日累计购买上限100.00元)",0.00%,0.60%,0.20%,0.35%,1.15%,https://fund.eastmoney.com/006075.html
39,019305,"摩根标普500指数(QDII)C",C,23.49%,22.54%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.15%,0.30%,0.95%,https://fund.eastmoney.com/019305.html
40,012860,"易方达标普500指数(QDII)C",C,23.52%,22.17%,"暂停申购  (单日累计购买上限10.00元)",0.00%,0.80%,0.20%,0.35%,1.35%,https://fund.eastmoney.com/012860.html
41,017030,"国泰标普500ETF发起式联接(QDII)C",C,22.15%,21.10%,"暂停申购  (单日累计购买上限1.00万元)",0.00%,0.60%,0.15%,0.30%,1.05%,https://fund.eastmoney.com/017030.html
42,018064,"华夏标普500ETF发起式联接(QDII)A(人民币)",A,23.19%,22.43%,"暂停申购  (单日累计购买上限100.00元)",1.20%,0.60%,0.15%,0%,0.76%,https://fund.eastmoney.com/018064.html
43,018065,"华夏标普500ETF发起式联接(QDII)C",C,22.82%,21.77%,"暂停申购  (单日累计购买上限100.00元)",0.00%,0.60%,0.15%,0.30%,1.05%,https://fund.eastmoney.com/018065.html
